Texte;Label enrichi;Norme / Référence
Les droits d’accès sont revus tous les 6 mois.;Conforme – Bonnes pratiques;ISO 27001 A.9.2.5 / NIST AC-2 j / COBIT DSS05
Aucune revue des droits depuis 18 mois.;Non conforme – Absence de contrôle;ISO 27001 A.9.2.5 / SOX 404
La revue des droits est effectuée de manière irrégulière (environ tous les 14 mois).;Partiellement conforme – Contrôle insuffisamment fréquent;ISO 27001 A.9.2.5
Les revues d’accès sont tracées et approuvées par un responsable.;Conforme – Contrôle documenté et validé;ISO 27001 A.9.2.6 / COBIT BAI08
Les revues d’accès ne sont pas documentées.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Des comptes utilisateurs restent actifs plus de 7 jours après le départ.;Non conforme – Risque de comptes orphelins;ISO 27001 A.9.2.6 / NIST AC-2 g
Les comptes des collaborateurs partants sont désactivés immédiatement.;Conforme – Processus réactif;ISO 27001 A.9.2.6 / SOX 404
Le processus de départ prévoit la révocation sous 72h.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6
La création de comptes utilisateurs est validée par un responsable hiérarchique.;Conforme – Contrôle d’approbation en place;ISO 27001 A.9.2.1 / NIST AC-2 b
Des comptes sont créés sans approbation formelle.;Non conforme – Absence d’autorisation;ISO 27001 A.9.2.1
Les comptes administrateurs sont nominatifs et limités.;Conforme – Principe du moindre privilège respecté;ISO 27001 A.9.2.3 / NIST AC-6
Un compte administrateur générique est utilisé par plusieurs personnes.;Non conforme – Absence de responsabilité individuelle;ISO 27001 A.9.2.3
L’attribution des droits suit le principe du moindre privilège.;Conforme – Contrôle granulaire;ISO 27001 A.9.1.2 / NIST AC-6
Certains utilisateurs disposent de droits supérieurs à leurs besoins.;Partiellement conforme – Excès de privilèges;ISO 27001 A.9.1.2
Une séparation stricte des tâches existe entre utilisateurs métiers et administrateurs.;Conforme – Ségrégation efficace;ISO 27001 A.6.1.2 / COBIT DSS06
Le même utilisateur peut développer et mettre en production.;Non conforme – Absence de séparation des tâches;ISO 27001 A.6.1.2
Une MFA (authentification multi-facteurs) est obligatoire pour les accès sensibles.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2 / NIST IA-2
Seul le mot de passe protège les accès administrateurs.;Partiellement conforme – Authentification faible;ISO 27001 A.9.4.2
Aucune authentification forte n’est mise en place.;Non conforme – Risque critique;ISO 27001 A.9.4.2 / NIST IA-2
Les mots de passe sont stockés hachés et salés.;Conforme – Bonnes pratiques de stockage;ISO 27001 A.10.1 / NIST IA-5 c
Les mots de passe sont stockés en clair dans la base.;Non conforme – Failles majeures;ISO 27001 A.10.1
La politique impose un changement de mot de passe tous les 12 mois.;Partiellement conforme – Politique faible;NIST IA-5 / ISO 27001 A.9.4.3
Les mots de passe doivent être changés tous les 90 jours.;Conforme – Bonnes pratiques (classiques);ISO 27001 A.9.4.3
Aucun changement de mot de passe n’est imposé.;Non conforme – Absence de politique;ISO 27001 A.9.4.3
Les tentatives d’accès sont limitées à 5 échecs avant blocage.;Conforme – Contrôle de verrouillage en place;ISO 27001 A.9.4.3 / NIST AC-7
Les sessions inactives sont automatiquement déconnectées après 15 minutes.;Conforme – Bonnes pratiques de session;ISO 27001 A.9.4.2
Les sessions restent ouvertes indéfiniment si non fermées manuellement.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Un processus de recertification des accès administrateurs est réalisé annuellement.;Conforme – Bonnes pratiques de gouvernance;ISO 27001 A.9.2.5 / NIST AC-2 j
Les recertifications ne couvrent que les utilisateurs métiers, les comptes à privilèges sont exclus.;Partiellement conforme – Périmètre incomplet;ISO 27001 A.9.2.5 / COBIT DSS05
Aucun suivi des comptes génériques n’est effectué.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3 / NIST AC-2
Un registre central des accès est maintenu et mis à jour en temps réel.;Conforme – Traçabilité assurée;ISO 27001 A.9.2.6 / COBIT DSS05
Les demandes d’accès sont parfois validées oralement, sans trace écrite.;Partiellement conforme – Validation non tracée;ISO 27001 A.9.2.1 / SOX 404
Des comptes techniques disposent de droits excessifs par rapport à leur usage.;Non conforme – Excès de privilèges;ISO 27001 A.9.2.3 / NIST AC-6
Les droits des prestataires externes sont révoqués à la fin du contrat.;Conforme – Contrôle appliqué;ISO 27001 A.9.2.6 / COBIT DSS05
Les droits des prestataires restent actifs après leur départ.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.6 / NIST AC-2 g
Un contrôle d’accès physique et logique combiné est exigé pour les administrateurs systèmes.;Conforme – Défense en profondeur;ISO 27001 A.11.1.1 / NIST PE-3
Les identifiants par défaut des applications ne sont pas modifiés à l’installation.;Non conforme – Vulnérabilité connue;ISO 27001 A.9.2.4 / NIST IA-5 f
Un processus d’accès temporaire est en place pour les interventions d’urgence, avec journalisation.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6 / NIST AC-2 d
Les accès temporaires d’urgence ne sont pas supprimés après usage.;Non conforme – Risque d’escalade de privilèges;ISO 27001 A.9.2.6 / NIST AC-2 d
